epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,44416.3,0.68147,0.44319,1.51777,0.78501,0.81736,0.84875,0.70163,0.66288,0.43638,1.59371,0.0057925,0.0057925,0.0057925
172,44674.9,0.68135,0.44344,1.52272,0.78478,0.81828,0.84884,0.70153,0.66265,0.43597,1.59339,0.00576775,0.00576775,0.00576775
173,44925.1,0.68785,0.45026,1.51614,0.7945,0.80878,0.84879,0.70175,0.66255,0.43617,1.59243,0.005743,0.005743,0.005743
174,45183.4,0.68365,0.44753,1.52091,0.79694,0.80431,0.8489,0.70179,0.66255,0.43623,1.59169,0.00571825,0.00571825,0.00571825
175,45441.5,0.68425,0.44441,1.51636,0.79855,0.8042,0.84916,0.70235,0.66241,0.43615,1.59103,0.0056935,0.0056935,0.0056935
176,45699.6,0.68283,0.44343,1.51436,0.79861,0.80514,0.84916,0.70208,0.66225,0.4359,1.59013,0.00566875,0.00566875,0.00566875
177,45950.1,0.68115,0.44338,1.51814,0.79941,0.8048,0.84932,0.70235,0.66199,0.4357,1.58947,0.005644,0.005644,0.005644
178,46207.9,0.68326,0.44431,1.51575,0.79988,0.80449,0.84943,0.70284,0.66175,0.4357,1.58907,0.00561925,0.00561925,0.00561925
179,46465.9,0.68088,0.44043,1.52044,0.80025,0.80541,0.84951,0.70286,0.66178,0.43567,1.5887,0.0055945,0.0055945,0.0055945
180,46723.9,0.68046,0.44134,1.51784,0.80085,0.8056,0.84967,0.70299,0.66148,0.4352,1.58885,0.00556975,0.00556975,0.00556975
181,46982,0.68269,0.44204,1.51626,0.80143,0.80565,0.84973,0.70314,0.66155,0.43527,1.58831,0.005545,0.005545,0.005545
